119, 126, 138, 154, 177, 200, 219, 231, 239, 245, 113, 0, 0
110, 117, 128, 146, 174, 205, 226, 239, 247, 253, 105, 0, 0
99.8, 105, 115, 134, 175, 220, 242, 253, 259, 264, 268, 95.4, 0
87.6, 91.3, 96.4, 108, 190, 254, 264, 269, 272, 276, 279, 80.9, 84.3
76.9, 77.9, 77.1, 69.5, 337, 287, 282, 282, 283, 285, 288, 72.2, 75
71.7, 71.6, 68.3, 55, 353, 301, 290, 288, 288, 289, 292, 67.8, 70.4
73.8, 74.3, 72.6, 63.5, 4.38, 297, 287, 285, 286, 287, 290, 69.2, 72
82.5, 85.1, 87.7, 91.2, 172, 268, 272, 274, 277, 280, 283, 76.5, 79.7
95.4, 100, 109, 130, 190, 237, 253, 260, 265, 269, 87.4, 91.2, 0
109, 117, 130, 155, 191, 221, 238, 247, 254, 259, 99.2, 103, 0
119, 128, 142, 162, 188, 211, 227, 237, 244, 249, 108, 113, 0
122, 131, 144, 162, 184, 205, 221, 232, 239, 244, 117, 0, 0
