0.1266553, 0.1861896, 0.2301008, 0.2543698, 0.256991, 0.2377834, 0.1983638, 0.1422536, 0.0754747, 0.0136684, 0.0585027, 0, 0
0.1712679, 0.2437921, 0.2970895, 0.326497, 0.3296622, 0.3063745, 0.2585369, 0.1902558, 0.1083448, 0.0271065, 0.0872955, 0, 0
0.1890154, 0.2612432, 0.3141517, 0.342999, 0.3464254, 0.323327, 0.2758419, 0.2078996, 0.1258512, 0.0410023, 0.00035, 0.1046125, 0
0.2358062, 0.3171743, 0.376606, 0.4093021, 0.4127941, 0.3868644, 0.3335245, 0.2570404, 0.1641455, 0.0655525, 0.0026676, 0.0428888, 0.1399814
0.1925041, 0.2546635, 0.3000087, 0.324946, 0.3276116, 0.3078394, 0.2671468, 0.2087361, 0.1375828, 0.0611518, 0.0049813, 0.0429439, 0.1190142
0.1459171, 0.1921269, 0.2258487, 0.2444079, 0.2464064, 0.2317149, 0.201465, 0.1580405, 0.105113, 0.0480581, 0.0044938, 0.0343282, 0.091249
0.1165474, 0.1546919, 0.1825544, 0.1979009, 0.1995624, 0.1874281, 0.1624408, 0.126589, 0.0829417, 0.0360564, 0.0025217, 0.0248822, 0.0714932
0.1185293, 0.1603774, 0.1909755, 0.2078331, 0.2096563, 0.1963241, 0.1688808, 0.1295387, 0.0817604, 0.0310225, 0.000855, 0.0194942, 0.0692634
0.1155226, 0.1610945, 0.1945056, 0.2129308, 0.2149224, 0.2003467, 0.1703724, 0.1274976, 0.0757461, 0.0225142, 0.0121758, 0.0623122, 0
0.1162516, 0.167746, 0.2056546, 0.2265991, 0.2288705, 0.2123106, 0.1782932, 0.1297888, 0.0717448, 0.0155591, 0.0070697, 0.056841, 0
0.1064851, 0.1582697, 0.1965365, 0.2177142, 0.2200171, 0.2032787, 0.1689306, 0.1200967, 0.0621461, 0.0100158, 0.0037119, 0.0474577, 0
0.0990088, 0.1483785, 0.1848946, 0.2051071, 0.2073012, 0.191319, 0.1585363, 0.111247, 0.0568517, 0.0084351, 0.042958, 0, 0
